ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"36.77.217.161","transparent","AS7713","ID","PT. TELKOM INDONESIA","252","N/A","8081","http","5002","100","30","30","2025-03-20T10:28:38.820Z","44"
"188.117.108.66","elite","AS41176","SA","Sahara Net IP Class","214","N/A","3128","http","5002","100","1","1","2025-03-20T10:29:07.151Z","45"
"222.68.38.14","elite","AS4812","CN","China Telecom (Group)","227","Chinanet SH","1080","http","5002","10","3","29","2025-03-20T10:29:17.714Z","67"
"222.68.37.112","elite","AS4812","CN","China Telecom (Group)","231","Chinanet SH","1080","http","5002","97","29","30","2025-03-20T10:29:22.212Z","70"
"218.1.197.78","elite","AS4812","CN","China Telecom (Group)","242","Chinanet SH","2324","http","5002","100","1","1","2025-03-20T10:28:42.840Z","42"
"27.79.180.48","elite","AS7552","VN","Viettel Corporation","299","VIETEL","16000","http","5003","94","15","16","2025-03-20T10:28:17.001Z","2802"
"118.113.247.163","elite","AS4134","CN","Chinanet","281","Chinanet SC","2324","http","5003","100","1","1","2025-03-20T10:29:48.565Z","69"
"36.136.27.2","transparent","AS9808","CN","China Mobile","278","China Mobile Communications Corporation","4999","http","5007","100","30","30","2025-03-20T10:28:21.803Z","1007"
"47.245.117.43","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","244","Alibaba.com LLC","80","http","5027","100","30","30","2025-03-20T10:16:01.669Z","162"
"27.76.131.181","elite","AS7552","VN","Newass2011xDSLHCMC","289","N/A","5104","http","5107","100","29","29","2025-03-20T10:06:47.990Z","328"
"139.59.1.14","elite","AS14061","IN","DIGITALOCEAN","161","DigitalOcean, LLC","80","http","5109","97","28","29","2025-03-20T10:02:22.680Z","1216"
"178.16.130.81","elite","AS47583","FR","HOSTINGER FR","8","Hostinger International Ltd.","80","http","5110","100","21","21","2025-03-20T10:28:18.284Z","2187"
"61.164.204.130","transparent","AS4134","CN","Chinanet","220","Pinghu Ybwgy LTD","4999","http","5188","100","29","29","2025-03-20T10:16:01.668Z","4091"
"171.41.128.4","elite","AS4134","CN","Chinanet","248","Chinanet HB","2324","http","5195","88","21","24","2025-03-20T10:16:01.667Z","4003"
"103.24.213.141","transparent","AS132649","ID","PT. ADAU PUTRA NETWORK","182","N/A","8090","http","5203","100","23","23","2025-03-20T10:02:11.771Z","5286"
"27.189.133.76","elite","AS4134","CN","Chinanet","255","Chinanet HE","8089","http","5229","10","2","21","2025-03-20T10:05:22.466Z","3703"
"58.33.109.114","transparent","AS4812","CN","China Telecom (Group)","229","Chinanet SH","2021","http","5273","100","7","7","2025-03-20T10:27:23.697Z","5008"
"159.65.221.25","anonymous","AS14061","US","DigitalOcean, LLC","88","DigitalOcean, LLC","80","http","5309","100","14","14","2025-03-20T10:10:03.882Z","2289"
"162.214.165.203","elite","AS46606","US","Unified Layer","134","Unified Layer","80","http","5380","100","22","22","2025-03-20T10:01:59.070Z","406"
"103.97.140.76","transparent","AS141071","ID","PT Jembatan Data Pangrango","172","PT Apik Media Inovasi","8080","http","5412","100","8","8","2025-03-20T10:21:31.575Z","4891"
"121.224.156.149","elite","AS140292","CN","China Telecom","229","Chinanet JS","8089","http","5472","63","10","16","2025-03-20T10:02:55.971Z","496"
"46.64.137.233","elite","AS5607","GB","Sky UK Limited","22","Sky Broadband","80","http","5485","100","30","30","2025-03-20T10:28:06.481Z","4992"
"85.30.219.207","transparent","AS42610","RU","National Cable Networks","44","N/A","80","http","5488","100","8","8","2025-03-20T10:19:59.280Z","5000"
"198.49.68.80","elite","AS33182","US","HostDime.com, Inc.","139","HostDime.com, Inc.","80","http","5524","57","17","30","2025-03-20T10:18:37.578Z","4895"
"216.229.112.25","elite","AS29843","US","Five Area Systems, LLC","128","Five Area Systems, LLC","8080","http","5681","100","5","5","2025-03-20T10:04:07.675Z","142"
"65.108.203.37","elite","AS24940","FI","Hetzner Online GmbH","36","Hetzner Online GmbH","28080","http","5686","100","16","16","2025-03-20T10:00:32.276Z","437"
"198.12.85.213","elite","AS36352","US","HostPapa","99","HostPapa","80","http","5698","100","30","30","2025-03-20T10:22:27.774Z","3413"
"114.229.213.210","elite","AS4134","CN","Chinanet","229","Chinanet JS","8089","http","5702","76","22","29","2025-03-20T10:10:59.466Z","5193"
"222.68.38.115","elite","AS4812","CN","China Telecom (Group)","221","Chinanet SH","1080","http","5705","3","1","30","2025-03-20T10:27:08.968Z","607"
"58.209.137.156","elite","AS140292","CN","China Telecom","235","Chinanet JS","8089","http","5791","97","28","29","2025-03-20T10:18:05.697Z","684"
"111.132.16.13","elite","N/A","CN","China TieTong Telecommunications Corporation","391","N/A","3389","http","5795","60","18","30","2025-03-20T10:04:59.786Z","4906"
"111.132.16.238","elite","AS24138","CN","China TieTong Telecommunications Corporation","348","North Star Information Hi.tech Ltd. Co","3389","http","5797","100","29","29","2025-03-20T10:09:03.976Z","893"
"117.68.110.16","elite","AS140527","CN","China Telecom","225","Chinanet AH","9443","http","5812","95","21","22","2025-03-20T10:26:48.971Z","4367"
